image,text
image979,when ur too young to know the concept of racism but ur happy cause u got a new pet
image980,when you're shooting up the school and the cops shoot the black kid that's running away
image981,i will lie. i will sleep with anyone. i will attack sexual perverts like joe biden in my own party to get ahead! i will let illegals murder americans. i will let newborns be i want to be your comfortable and executed president!
image984,"when halloween has been a month ago, but your son continues to dress as a woman"
image985,mooch in his natural habit
image987,transgender when just being gay doesn't get you the attention you rightfully deserve!
image988,white men are evil... i married one to make sure
image989,the name's todd.. retodd
image990,when your dishwasher is broken so you take it back to walmart to get a new one
image992,"i saw a fat girl with a guess shirt on, so i approached her and said \""380 lbs?\"""
image993,when it's your 1st cake day and you really wanna blow that candle
image994,truth be told the real reason for racism
image995,let's play: word scramble n g e g i r
image997,100% of illegal aliens are criminals
image998,becomes a woman immediately kills a person driving
image1001,you know what really grinds my gears? niggers
image1003,"bernie couldn't be more excited for his first day as a police officer he outright refused to accept his paycheck, insisting that being able to legally shoot black children is payment enough"
image1005,don't shoot i'm unarmed
image1007,"how to trigger liberals in 3, 2, 1 #whiteprideworldwide"
image1008,homosexuals get beheaded so the men cover themselves up
image1009,when you're usually a happy afghan but your girl broke up with you so now you're asad afghan taliban spokesman
image1010,matte black gloss black
image1011,how do we destroy the patriarchy? it's simple. we eat it
image1012,racing for pink slips in africa
image1015,yo dawg i heard you loved chinese food so we killed your cat
image1016,"these holocaust are very offensive! anne frankly, they need to stop"
image1019,"i'm a moderate muslim. that means that while other muslims are putting bombs on your buses and raping your children, i'll be telling you that islam is peaceful protesting when you insult my religion and lobbying your government to take away your free speech"
image1020,when you bout to nut in your cousin and you hear the barn door open
image1022,"if being a racist means i don't want my country filled with radicalized 'refugees' from terrorist countries, attacking people in the street because of their religion, yelling <<death to infidels>>, stabbing dozens of bystanders with a butcher knife then i'm a racist"
image1024,does anyone know where i can get a rag? there's 49 of them on the floor in a mosque
image1026,nein shawty its ya bday anne frankly i hope you celebrate it with bae
image1032,what's the difference between a jew and a pizza a pizza doesn't scream in the oven
image1033,best thing about an ethiopian blowjob?...  you know shes gonna swallow!!! well it's true
image1034,when an indian rapes 3 tourists from 3 different countries mr. worldwide
image1038,say it again jerry i shoot ilegals
image1040,smashed potatoes
image1043,white trash britney is my spirit animal
image1044,class! class! listen! daylight savings ends today you must move your clock bombs forward one hour
image1045,like a hot ls swapped rx-7 girl with a penis
image1047,what do you call pool full of handicap people? vegetable soup
image1052,which jewish girl is hotter?
image1057,immigrants illegal aliens
image1060,jews did 9\/11 truth is antisemitic
image1062,it's racist to call me a goat humper even though i hump goats
image1065,"wait, mohammad come back!! i didn't mean to laugh,really size doesh't matter to me lol"
image1066,"they kill gays, and women who go out in public without a male relative and are supported by democrats and liberals"
image1067,forcing children into religion is child abuse. religion has to be taught. it's not natural 
image1070,"all muslims are a danger to americans! ban them all! except the rich ones who spend tens of millions at my hotels and condos, of course!"
image1074,thanks jews! the gift of 911
image1075,transgender people have a problem with their head not their crotch
image1076,companies when pride month ends:
image1077,wants to stone gay people to death dresses like a drag queen
image1078,90 percent of indians are idiots: justice markandey katju
image1079,you with the ewe stop that!
image1087,when you just finished shooting a bunch of black kids but accidently killed a squirrel
image1089,new seat belt design 50% less accidents
image1090,knowing white people he's probably the father
image1092,what's the difference between boy scouts and jews? boy scouts come back from their camps
image1097,build a house for r250m while ordinary citizens live in poverty? i blame apartheid
image1100,michelle obama angry monkey
image1103,how to cook turkey in usa how to cook turkey in romania
image1108,i'm not racist. racism is a crime and crime is only for blacks
image1110,anyone who disagrees with homosexuality and gay marraige is probably a closet homosexual. do you disagree with pedophiles and pedophilia?
image1112,heroin is destroying the white community keep up the good work heroin
image1115,all aboard the jew jew train
image1119,who cares if mexicans are offended americans are offended by illegal immigration
image1121,how to tell if it's your turn to do laundry 1. look down your pants. 2. do you have a penis? 3. then it's not your turn
image1122,dis one time at concentration camp i got such bad gas
image1124,first black guy to admit he is the father
image1125,flat earth is based on christianity and christianity is a jewish death cult think about it
image1128,god will forgive you no matter what you've done sweet
image1129,"like me you idiots should be storming the capitol right now instead you're drinking beer, smoking weed, and shooting off chinese fireworks. now do you see why we made you slaves?"
image1131,safe sex isis style
image1133,when buslim nibba see his sister
image1134,because they love you they want this not they need to mix breed to preserve their species
image1139,when you see muslims at bunnings buying pool chemicals and fertilizer
image1140,"\""ay,tone. so da franks was transferred to multiple camps. shouldn't they have whacked her da first time? doesn't seem very efficient.\"""
image1141,best holiday gift for muslims
image1143,free dishwasher missing parts
image1144,i believe this is the work of the zionist enemy they burned notre dame cathedral as message to the world
image1148,i told my gay friend i can turn fruits in to vegetables and he told me to prove it so i pushed him off a balcony
image1149,when you are that ugly you don't have a choice
image1150,the difference between moderate muslim and radical muslim follow my allah or i kill you! moderate muslim follow my allah or he kill you radical muslim
image1151,my hands look like this so she can look like this
image1153,hotline to : allah pull pin hold to ear then wait for dial tone
image1154,"this is a declaration of war  ...on you, your family, your friends, and all you hold dear"
image1155,is it a boy or a girl it's a bomb
image1157,all that's wrong with america is white people!
image1159,me getting offended at a joke is like a jew escaping a gas chamber it never happens
image1160,handjob sold separately
image1161,fidget spinner for woman
image1162,i'm not sure about abortion on one hand it kills babies on the other hand i hate black people
image1163,there are only two genders: male female
image1167,the same people that hate trump think this is a woman
image1170,"i'm a parasite, also known as a zionist we zionists are a cancer unto the nations"
image1171,blind people will be so happy when they see these new emojis
image1172,"\""the only way to end racism is to kill the racists.\"" -oprah winfrey yeah-she means white people"
image1173,jewish supremacists playing the role of victim while they victimize everyone on the planet
image1174,"i don't always see muslims at the public swimming pool but when i do, i always tap this sign"
image1177,i have no idea how to do your job but my book says you're doing it wrong
image1178,bitches are like stitches pick on them and they open up
image1179,when your memes spread faster than stds at gay bars i've got the power
image1181,great punching bag
image1184,how much did the holla cost
image1185,and so it begins... pedophelia was always the end game of gay marriage; we christians tried to warn you
image1187,jewber: uber for jews
image1188,i like my coffee like i like my slaves extra dark
image1190,"put'n the \""ham\"" in mohamed"
image1191,i bet her pillows dont have pillowcases
image1192,"when an indian man marries he scratches the dot off his wife's forehead to see if he's won a gas station, a motel, or a subway restaurant"
image1195,fifty shades of goat an isis love story
image1196,"lets see if this is considered dark honey,you killed a butterfly. no butter for you for a month dad i also killed a cockroach today. nice try.."
image1198,the media calls them refugees but this is what you will get
image1199,hello satan... they are mocking islam!
image1200,"august, 1945: the last words of the would co-pilot moments before he total destruction on hiroshima unleash i hope these rice people like mushrooms!"
image1207,hunger games he's winning
image1208,it isn't islamophobia when they really are trying to kill you
image1209,no more excuses european americans are generational squatters
image1211,don't know how to deal with black people but i guess i'll take a shot at it
image1212,then he said i couldn't come to the barbecue because i always burn the franks
image1215,dark humor is like good food not everyone deserve it ;
image1217,every man needs a decent coffee maker
image1219,after group sex mohammed is very tired
image1222,imagine a world with no muslims... just imagine that peace
image1225,mandatory vaccinations '' no exemptions
image1227,it's hard to be first class when you're white trash
image1229,i'm not saying shes a slag but she's seen more japseyes than an asian optician
image1233,straight pride! becasue the human race will go extinct otherwise
image1234,trans-sports allowing medicore male athletes to finally become champions
image1236,what's the difference between a cow and the holocaust? you can't milk a cow for 75 years
image1237,"a girl asks her mom, \""why am i black and you're white?\"" she says, \""the way that party went, you're lucky you don't bark. \"""
image1238,"muslim nibba lost his bag, help to find"
image1243,keeping your dishwasher clean  will make it last longer
image1248,when you raid area 51 to find aliens but all you find are mexicans
image1249,you can't hate jews if there's no more jews
image1250,fuckin' slaves
image1251,black people mitochondria being the powerhouse of the cell
image1253,monkey blood
image1254,same
image1257,black people anything that doesn't belong to them
image1258,black friday sale
image1260,i'm really sorry you're not feeling well today... but i'm still gonna need a sandwich
image1263,feminist literature? you mean cookbooks?
image1265,when your little car bomber brings home his first girlfriend
image1266,the clitoris has around around 8000 nerve endings but still isn't as sensitive as a white male liberal on the internet
image1267,"when she says you're like a brother to her, but y'all live in alabama so iz we fuckin or nah?"
image1268,we've been at peace with japan since 1945 time to make peace with islam
image1271,"when an indian man marries he scratches the dot off his wife's forehead to see if he's won a gas station, a motel, or a subway resturant"
image1272,muslims did this islam is not a religion! it's the world's largest death cult christian girl: killed for refusing to convert to islam this is islam
image1273,how muslims see us staring down the barrel of a .45........ how we see muslims
image1275,when the plantation owner invites you to a hunting session but everyone has a rifle except for you. hol up
image1276,"pssst! the jews are the globalists that's what the term international jewry\"" meant. but don't tell anyone, you can't say \""it's the jews\"""
image1278,ah the young they blow up so quickly
image1280,another khuuun tiger woods claims hes not black despite his father being black
image1282,do you want to know the real reason they don't want 5.7 million muslims rioting in their streets the french government hasn't mentioned terrorism?
image1285,"it hurts the poor muslim's feelings? well, whoopty doo... this aint arabia meathead"
image1286,donald trump wall cop or muslims no mexicans don't mess with his wall!
image1288,"schnazi the dachshhund \""i have eliminated the chews\"""
image1291,minnesota rep. ilhan omar (d) calls to defund homeland security well she is a terrorist so.
image1293,smh kids these days rely too much on technology
image1294,chances are that god was black because he didn't even raise his son
image1295,"gaming in north korea if you die in game, you die in real life"
image1297,muslims muslims
image1299,this is nahir nahir is born in germany nahir is german this is fluffy fluffy is born in horse stable fluffy is a horse
image1302,literally nobody: white people sitting at the bar: can you put it on the golf channel??
image1303,and that was the last nativity play my son was invited to take part in
image1304,this is the muslim brotherhood
image1306,each color is a mental disease
image1307,how you look when youre black and you celebrate the 4th of july
image1308,i'm a feminist and i work to protect rights of women . calm down.. i didn't mean muslim women
image1310,look son another terrorist attack by peaceful muslims!
image1312,manditory vaccinations with no exemptions i do nazi the problem...
image1313,"\""islam is love!\"" - ariana grande yeah, if you're a goat"
image1314,celebrating the ebt card. oh snap
image1318,i married my brother to commit immigration fraud
image1320,"muslims zombies both carry a virulent disease that transforms the host into a mindless, irrational, and above all violent creature"
image1321,me and the boys after killing innocent people in a bomb blast
image1322,when cops see an unarmed black youth:
image1323,seriously mate... what's the fuckin point?
image1325,black people then black people now
image1326,i like my coffee like i like my slaves extra dark
image1329,spending quality time with dad
image1330,randomly deciding to bake something
image1332,blowjobs buy one get one free
image1333,when your dishwasher asks you to take out the trash  i think it has a mind of its own
image1334,"we will kill every man, woman, child shia, sunni.... zoroastrain, kurd or christian but we don't touch israel why is that?"
image1340,jews and americans will ruin the world
image1342,they told me i would miss my family i never miss at close range
image1347,"never take a man who takes a lot of selfies seriously either he's gay, thirsty, arrogant, or needs attention like a female"
image1350,"when your wife is secretly a dinosaur, and you don't find out before she givs birth to four crossbreed raptors"
image1353,mommy look! an indian man! don't look at them ricky. i don't want you to be influenced by...ohgodno rickyyy show bobs and vagene pls
image1354,jewish invention ''
image1355,when you want to win but you're already 5 down before you even start
image1357,"black girl with green contacts? bitch, stop it. you look like an xbox"
image1358,pork is unclean? ever smell one of these goat fuckers?
image1359,shhh...the christians think this holiday is about jesus. wait until they discover it's traditionally celebrated with orgies!
image1360,"if you believe that, i've got a virgin goat to sell you!"
image1361,i only wear silk panties cotton ones remind me of slavery
image1362,baby look like he pay his own child support
image1365,a black chinese now i can die in peace chigga
image1366,there's no better time to combine out efftorts than now! blacks whites team - together everyone achieves more
image1368,deport illegal immigrants? let's start with white people
image1369,jihadi magazine's miss december
image1371,"dark humor is like hitler some people call it wrong, , but i find it completely justified"
image1374,"keep yelling, motherfuckers allah be with you shortly"
image1376,when you're given an n-word pass but you can't help but still be super white howdy-ho negroes
image1379,transgenderism used to be the subject of psychological horror films now it's the new normal and if you don't agree with the psychos... you're not normal
image1380,no one: white people when you nod at them:
image1382,if there is no race it can't be homicide
image1383,why are liberals so angry? its not like republicans can take their slaves away again.
image1384,i think i almost got my dishwasher working
image1386,he asked me if its permissible to smoke marijuana in muslim country. so i told him in our contries only gays get stoned
image1387,did you say dude blew his tranny???
image1389,from 16 indictments to nothing! thanks 'white privilege!'
image1390,burn them all that's my girl
image1395,the look he gives you when you're the new goat in town
image1398,im living in downtown
image1399,"it happend mom, a black guy gave me complement ohhh sweety i'm so sorry. that means you need to lose about 30 pounds"
image1401,this is the result of letting muslims in '' ''
image1402,thankfully youtube blocked those videos or she might have popped even more people in their office
image1403,oh boy i freaking hate niggers
image1404,i can put up with muslims killing canadians but i absolutely will not tolerate canadians criticizing muslims
image1410,this red copper flipside can fit six wieners inside it just like your mom
image1411,we said we would never forget why are you voting then into our government?
image1412,white people: all asians look the same also white people:
image1413,i'm a gnigger and you've been robbed
image1414,"sorry, i only grope women"
image1416,and that was the last nativity play my son was invited to take part in
image1422,police academy graduation ceremony
image1424,when your girl thinks it's cool to yell at you in front of company
image1425,"\""dammit i said \""glass of juice\"" not \""gas the jews!!\"""
image1427,looking at you sorry no cure
image1428,say allahu akbar again... ...go ahead...say it!
image1429,starving mexican monkey eating peanuts
image1430,hey muslim eat me!
image1432,adding coolant when the farm equipment overheats
image1433,"socialists want to disarm us and make us use trains no thanks, i've seen where that leads, i'll keep my car"
image1435,hey bro close your eyes bro yes bro? ok bro go deeper o yeah abdul
image1437,you can see black lives matter
image1439,why can't you play uno with a mexican? because they'll steal all the green cards
image1440,america : * nukes japan* three days later: ahhhh gettin kinda bored
image1442,when you save it because you thought it was just burnt up
image1443,"spiders be like black people.. not all of them are dangerous, but still, you don't want one in your house"
image1445,terminigger
image1446,this isn't even my final form
image1449,oh boy i cant wait to pray at my favorite mosque on march 15th 2019
image1450,great at making martinis terrible at stealing tambourines
image1451,allah akbar! next thing you know everyone is dead  
image1452,there is widespread disagreement among islamic scholars about whether homosexuals should be burned or thrown off buildings
image1454,bruce jenner's cat
image1455,"i want my 72 virgins to be 66 goats, 5 boys and 1 bi-curious donkey"
image1456,arnold shootzanigger
image1457,how long can he run? till the chain tightens
image1460,this one time at camp we got so baked
image1461,what kind of punch can take out 20 kids and 6 adults ? a sandy hook
image1462,genocide is like christmas it's more fun when it's white
image1464,what's the hardest part of eating a vegetable? the wheelchair
image1465,future sex slaves welcome their muslim masters
image1466,this time. our president is not your muslim brother
image1467,when u forget to lock ur basement door and ur pets try to run away
image1468,slavery reinstated catch yourself a strong one
image1472,how transgender kid and his family roll up to the court ruling about adding a gender inclusive bathroom to the school
image1473,little white person please leave before my ancestors tell me to kick you off this mountain
image1474,when all your troops are freezing in russia so you burn 6 million jews to keep them warm
image1477,when you haven't stolen anything in a week
image1478,non-members members-only gate let me in. autistic reaction let me iiiiiin
image1479,"hijab babrie comes with stones, shovel and removable head"
image1481,"i'm not racist, racisim is a crime. and crime is for black people"
image1488,when black dick just ain't cutting it anymore
image1489,holocaust makes me sad!
image1490,my new wife is like my car 12 years old and stolen from europe
image1491,where's my water?
image1494,"hello abdul, today i'm alone at home. *abdul this is ultimate"
image1495,jewish privilege running all the banks and fleecing us with their usury white privilege getting blamed for the world's problems by jewish supremacists
image1496,"when yo finna play w\/ yo self, then you think about yo dead relatives thats watching"
image1497,where is the black guy?
image1498,stepped on a landmine didn't weigh enough
image1499,"crisis hotline, how can i help? well...i'm feeling suicidal.. great! can you fly a plane?!"
image1503,mama i just killed a man
image1504,"trayvon martin update ever since he turned white, he stopped being a criminal"
image1510,terrorist attacks innocent people with guns leaders want innocent people to give up their guns and become even more defenseless.
image1513,men are like dogs we're excited to see you... and have no clue what you're mad about
image1518,islam is the religion of peace! don't believe me? then i will blow you up
image1523,slice and dice n1gg3r
image1525,almost all terrorism is sponsored by saudi arabia before the solution to terrorism after problem solved
image1526,"to all you liberal \""women\"" in favor of islam this young lady is being sold into sexual slavery as child bride"
image1528,i love muslims point me to right direction
image1530,what i'm really thinking when i like all your pictures
image1531,we should respect blacks
image1533,just bought my first slow cooker!
image1534,when the mexican lady at taco bell messes up your order
image1535,when the jews genocide you so hard for 50 years that your population triples
image1539,when you take a africa bottle of water to
image1542,me and styrofoam... yup...both white trash
image1545,i'd like to report hello 911 emergency? a misandry! yes this girl came out of nowhere and totally ignored my man feelings!
image1548,48 year old white women when they see an actually good meme how can you read this? there's no minions
image1549,when she's trying her hardest to make you cum but you already visited your favorite goat
image1550,when the bell goes off on the first day of school and the autistic kid thinks it's the hunger games
image1551,we said we would never forget why are you voting them into our government?
image1553,you can hide but you can't run
image1555,what's the difference between a jew and a pizza? a pizza doesn't scream when you put it in the oven
image1556,for guys that like it nice and slow gimme a call
image1557,when she finally has your own month
image1559,"if you have on fake hair, fake eyebrows, fake eyelashes, and a lot of makeup on then you're a tranny!!"
image1560,"why do you hate us? all we want to do ia move to your country , condemn your lifestyle, harass your women, destroy your freedom of speech and march through your streets calling for people to be beheaded"
image1563,for gay pride month i'd love to pump a gallon of my aids infected homo milk up your large intestine!
image1566,i hate racism. why would you choose to hate an entire group of people just becase of the way they all behave
image1567,i like to hit on women with black kids because i can guarantee they're single
image1568,where's jaws when you need him?
image1569,"shoot boy, i ain't racist i've got four black tires and a color tv"
image1570,they did not even leave dogs
image1574,commander! our transgender battalion needs reinforcements!
image1581,chloroform puts the sensual back into non-consensual
image1600,white people after they put the divider in between your groceries
image1601,when the villagers ask why all the 9 year old girls are walking funny
image1602,perks of being my friend? you'll be the normal one
image1604,"look son, there in england more peaceful muslims blowing people up"
image1605,white people is this a shooting range
image1609,hello mengele i think one of your experiments has escaped
image1611,"50 jews walk into a train, what do you call them? fuel"
image1612,how to break up a blacklivesmatter protest! are you my dad
image1613,chillin with my chromies
image1616,i like my refugees like i like my pasta limp and floating in water
image1618,has extra chromosome probably stole it
image1619,fresh out of bradford bomb jovi
image1620,"i don't wanna get married! bitch, please! i've got to go blow myself up tomorrow! islam - none of it makes sense"
image1621,muslims in 2001 defund homeland security! muslim in congress 2019
image1622,praise allah! our 72 virgins
image1623,trump supporters be like mexicans stole my teeth
image1624,saddle up boys!!! time too play cowboys
image1625,white people: all asians look the same also white people:
image1626,if your man dresses like this there no doubt he's gay
image1628,he went to jihad's
image1629,"islam \""i will instill terror into the hearts of the un believers: smite ye above their necks and smite all their finger-tips off.\"" quran 8:12"
image1631,if it's brown flush it down
image1634,"i'm sorry, barack but my new transgender law applies to michelle as well"
image1635,how a woman tells society she is single
image1638,original black friday sale
image1640,pray for the starving children while i hold this gold thingy
image1641,all races unite against islam!
image1644,whole world- earth is round buhammad nibba it's flat goatfucker
image1647,friends house and he when you at your white starts stabbing his parents only the dead can know peace from this evil
image1649,i stand with hitler these was this time at auschwitz when i needed medical attention and doctor mengele was there for me
image1651,you know like when the tv doesnt work you give it a hard hit and then its all better
image1653,white people after 10 shots black people after 10 shots
image1654,"when the white kid you've been nice to passes you a book under the table and he wrote \""you're cool. run out of the school when i give the signal\"""
image1658,my black boy friend
image1659,trans rights? the only trans i support is the trans-atlantic slave trade
image1660,you know like when the tv doesn't work you give it a hard hit and then its all better
image1662,"i love anal, but my sister hates it"
image1663,when your german grandfather teaches you how to make gingerbread houses
image1664,"racism exists among all races in the world.. white people are just better at it, like most things"
image1669,crackers gonna crack
image1673,i got arrested for punching this guy at a new years party. when you hear an arab counting down from ten your instincts kick in
image1674,what do you get when you see bill cosby in double vision raped
image1675,visit germany before germany visits you
image1677,when each letter is a mental disorder
image1678,blind people will be so happy when they see these new emojis
image1680,a muslim walks into a gay bar. bartender: what will it be? muslim: free shots for everyone!
image1682,"\""jet fuel\"" \""arabs with boxcutters \"""
image1683,"when the deaf kid insults you with sign language, so you break his fingers modern problems require modern solutions"
image1684,"have you ever studied the history of the jews? did you know that they have always banded together as a tribe, infiltrated governments, monopolized the financial systems of nations instigated wars and intentionally created chaos in societies? the jews have mass murdered millions of non- jews over the centuries theyve seized control of the media so you'll never find out study the history of the jews!"
image1685,you knew that was the wrong hole you're goddamn right i did!
image1687,how do you know if a black guy is well hung? you can't fit your finger between the rope and it's neck!!
image1688,what's the difference between an illegal immigrant and e.t.? e.t. learned to speak english and he wanted to go home!
image1689,this is really out of mein kampfert zone
image1691,thanks trump for my new job making america white again
image1692,no islam in europe go home
image1693,god : *creates women* humans : *creates dishwashers* god :
image1696,black people anything thoat doesn't belong to them
image1697,r.i.p trayvon martin
image1698,brett kavanaugh grabbed my penis
image1700,feminist literature? you mean cookbooks?
image1701,i got some muhammed for you right here howyou like me now?
image1703,"my milkshake brings muslims to the yard, and they're like .. allahu akbar!"
image1704,this would be racist if black people could read
image1705,didn't stand during the national anthem.. no one said a word... #whiteprivilege
image1706,"everyone knows hitting appliances that stop working, sometimes fixes the problem"
image1708,when you see a child in a gay parade half naked twerking with everyone celebrating ernie prepares to commit a hate crime
image1709,"the ink pen has always been one of the most deadliest weapons of the caucasian with it he can sign your life away to poverty, prison, and slavery"
image1710,"wait, mohammad come back!! i didn't mean to laugh, really size doesh't matter to me lol"
image1711,meet muhammed
image1712,when someone tells me women must serve men
image1716,muslims in 2001 defund homeland security! muslim in congress 2019
image1717,"him: \""you have to respect our religious beliefs\"" me:"
image1718,this transgendershit is getting outta hand
image1720,"we raped your women, pillaged your land and murdered you the most but now, i baptise you in the name of the father"
image1725,the only time it's ok to finger your sister
image1727,please make them white
image1729,"the numbers are supposed to go down, not up!"
image1730,.... if only it gave you legs
image1731,15 years in prison??? that means my next girlfriend hasn't even been born yet!
image1732,it's not rape it's a cuddle with a struggle
image1734,what's the difference between harry potter and the jews? harry managed to escape from the chambers
image1735,muslims in 2001 defund homeland security! muslim in congress 2019
image1736,nobody: european jews after 1933: now we're the skeleton crew
image1739,good morning gamers let's go kill some trannies
image1740,get the hell out
image1742,what's worse than a female driver?
image1745,picked up 2 new pillows and dishwasher at the flee market winner winner chicken dinner
image1746,destroying babri hindu niqqas after buslims after throwing stones on local mandir
image1747,"if your phone gets wet, try putting it in dry rice at night, the rice will attract asians who will fix your electronics for you"
image1750,if there are no blacks there would be no racism
image1751,now i know why bitches raise their one leg up!
image1752,but i'm israeli god promised me the car!
image1753,"when your sister only bangs black guys and gets knocked up ...and you literally become \""a monkey's uncle!\"""
image1754,sea monkeys
image1756,no matter what anyone tells you racism is ok
image1758,"when your girl is bulimic, but you like gagging sounds, so you call her \""fatty\"" while you beat your meat in the shower"
image1761,when you catch your goat with another man
image1767,"when you kick a trans woman in the crotch you see, he's just a man"
image1770,when a girl says she is lesbian so you become trans to smash modern problems require modern solutions
image1772,"\""why do \""white people\"" own so many pets ? because we're not allowed to own people anymore \"""
image1774,not going anywhere a while? for sniggers
image1775,i'm trying to put a load in the dishwasher him: me too!
image1779,"muslim at the entrance: \""hello brother!\"" brenton tarrant:"
image1781,obama voters
image1782,this faceapp stuff is incredible!
image1783,'' i'm gonna be a tranpa!
image1785,"trans women are women, trans women are women, trans women are women, trans women are women, she still gotta get a prostate exam at 40 tho"
image1790,we give your holy flag praise our lord and enslaver
image1792,when you're losing an argument against your black friend
image1794,i don't want no windmill blowin no cancer on me!
image1795,asians be like switching to fullscreen mode
image1799,give me the bread or i'll kick you pregnant transgender
image1800,isis glory hole
image1801,this is nahir nahir is born in germany nahir is german this is fluffy fluffy is born in horse stable fluffy is a horse
image1804,"\""oh no hundreds of white people: years of culture is being destroyed\"" all other reaces: first time?"
image1805,sis: you're the father\/uncle bro: i'm gonna be an funcle?
image1806,a short histoy of u.s. presidents
image1807,"feminism: because bitter, ugly lesbian need attention too!"
image1808,just trying to do my part
image1813,how to get a black guy to see his baby
image1814,white people know thyself
image1815,"either we fuckin, or i'm fuckin"
image1816,muslims conservatives hating jews
image1817,it's hump day!!! oh fuck!!!
image1818,"when you ask them if they're having a seizure but they just spasm on the ground instead of answering you all right, then. keep your secrets"
image1821,racing for pink slips in africa
image1826,ford owner blew a rod wasnt talking about his engine
image1827,love is love respect
image1828,stop using other's cultures to fill up your empty white settler soul
image1829,when your boss volunteers you for the next suicide bombing
image1830,it's super rare to find a kitchen that has four ovens and three dishwashers
image1834,"everyone told me ''he is gonna leave\"""
image1836,playboy offered her a million dollars to pose nude nat geo offered her the same
image1838,when the school shooter finally leaves and the hottest girl in class is laying dead on the floor it's free real estate
image1839,mississippi wind chime
image1844,im going trans hunting
image1846,muslims in 2001 muslim in congress 2019
image1847,designed for maximum concentration
image1849,when your white friends invite you to dinner and tell you to bring whatever you want
image1851,they say a woman's work is never done maybe that's why they get paid less
image1852,no pity sex? i am going to shoot an unarmed black citizen
image1853,perfect girls don't exi-
image1854,that moment in history when bill clinton decided to rip those poor mexican kids from their momma's arms
image1856,mom won't let me use the oven with my jewish friends
image1860,what's worse than a female driver?
image1863,chocolate melts at 86*f
image1864,behind every screaming goat is a muslim with his pants down
image1867,how many nails are there in a lesbian's coffin? none. it's all tongue and groove
image1868,trump the messiah of white trash racists
image1869,"hates europeans, christians, buddhists, atheists, gays, dogs, ham, wine, beer, your civilization,your culture, your hates europeans, christians, buddhists, atheiests traditions, your country, and you.. complains about \""islamophobia\"""
image1870,cleaned up my friends list before it was cool
image1878,"\""never forget\"" -you said.. i am the proof you have forgotten"
image1879,when muhammad goes in dry
image1880,72 dead in syrian chemical attack ha... rookie numbers
image1882,when you try out ancestry.com and find out you're related to hitler... i will finish what you started
image1883,when muslim nibbas see a extra ticc goat in the neighborhood
image1884,her: stop it! i'm trying to put a load in the dishwasher. him: yeah... me too!
image1885,when your goat tells you she ain't on the pill
image1886,dark humor is like him '' it never gets old
image1888,what women think they'll do when the economy collapses vs what they'll actually do
image1892,mark zuckerberg marries an asian who else is capable of counting all his money?
image1893,white cop kills black man black man kills black man
image1895,my aunt gonna make you white devils pay for her grandmother owning slaves
image1896,sea monkeys
image1898,president trump: keeping bitter old lesbian hags out of the white house since 2016
image1901,these cute head tilts
image1902,elmo laughs as he shows the trannys he chromosome you need to be able to call yourself a man
image1903,when white people learn that fish swim in schools
image1905,saddle up motherfuckers it's time to play cowboys
image1907,"are my sins forgiven now, father?"
image1908,active shooter at a walmart in tx targeting only hispanics. armed white people
image1912,our forever first wookie
image1918,when you mighta been born just plain white trash but fancy is your name
image1921,"when cops see an unarmed black youth: \""i want every gun we have to fire on that man.\"""
image1922,a short history of u.s. presidents
image1924,when you have to hold her like this at night because she steals
image1925,now is the winter of our discontent made glorious summer by this hump day
image1927,stop crying that was only one finger
image1928,when your fifth wife eats grass from another guys hand
image1929,virgin mobile
image1930,hold my hookah pipe! when it comes to interracial marriage too many of our brothers are not marrying our sisters
image1931,make christianity anti-semitic again
image1932,we '' protect pedophiles from being prosecuted
image1933,trannies deserve being thrown into an active nuclear reactor
image1934,i'm starting to understand both the appeal of and the demand for sex robots
image1935,there was no other way. why my wife and i decided to abort our unborn gay son
image1938,me: *locks the door* every jew in the gas chamber:
image1940,here's a painting of a handbook for terrorists
image1941,found a picture of your mother's womb
image1944,the face you make when white males have commited the most terrorist acts on american soil but you paint every other group as the problem
image1945,every man needs a decent coffee maker
image1946,whats worse than a female driver?
image1947,you gotta pump those numbers up those are rookie numbers
image1950,well look at you i've never fingered a potato
image1951,they want this not because they love you they need to mix breed to preserve their species
image1952,"\""islam is love!\"" - ariana grande yeah. if you're a goat"
image1954,women are like monkeys they don't let go of one branch until they have a firm grip on the next
image1956,if you invite the snake in don't cry when it bites vote trump or don't cry later
image1958,when you stop burning jews and start burning calories
image1962,"are all terrorists muslim? no, some are democrats"
image1965,it is easier to pick fights with black women than to challenge white men
image1966,when the autistic black kid start giving the n-word pass to everyone this will be the end of wakanda
image1969,"\""i don't care mom, if they deport juan i'm going with him\"""
image1970,how white men look at you after they've already called the cops
image1971,"hello dispatch, white folks are celebrating killing other white folks for land that ain't theirs"
image1972,when you finger a girl from auschwitz
image1974,what's black on top and white on bottom rape
image1977,"take advantage of u.n. and foreign aid-funded housing and benefits \""death to the west!\"""
image1979,kick islam out of india
image1980,ahmed i love you too
image1982,"shut up, slave! happy 4th of july boss!"
image1985,"why is kinder egg black outside and white inside? because if it was black inside, the black would steal the toy"
image1987,"once a year, women go completely crazy for about 365 days"
image1988,what kind of punch can take out 20 kids and 6 adults? a sandy hook
image1989,cash me auschwitz how bow dach
image1990,the difference between you and hitler at least hitler could use an oven
